区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
武侯,东南 东北,有,高楼层 (共13层),106105098118,3室1厅,164.8,精装,86.19㎡,2008年建
高新西,东南,有,低楼层 (共24层),106105096190,3室2厅,90,精装,89.33㎡,2008年建
武侯,南,无,高楼层 (共7层),106105093026,1室1厅,55,毛坯,47㎡,2000年建
龙泉驿,东南,有,中楼层 (共33层),106105015437,3室1厅,184,精装,82.38㎡,2013年建
龙泉驿,南,有,中楼层 (共21层),106105093615,3室2厅,105,精装,107㎡,2017年建
锦江,东南,暂无数据,低楼层 (共7层),106105091172,3室2厅,93,毛坯,74.56㎡,2000年建
青羊,东南,暂无数据,高楼层 (共7层),106105089493,2室1厅,48,毛坯,48.78㎡,未知年建
金牛,西南,无,高楼层 (共6层),106105008272,4室1厅,185,精装,157.81㎡,2003年建
双流,南,有,高楼层 (共33层),106105090413,4室1厅,212.5,精装,143.11㎡,2014年建
武侯,东南,有,中楼层 (共13层),106105007950,3室1厅,185,精装,106.06㎡,2009年建
锦江,东南,有,高楼层 (共29层),106105087996,3室2厅,175,精装,86.29㎡,2016年建
成华,南 北,有,高楼层 (共25层),106105070044,4室2厅,153.5,毛坯,164.99㎡,2016年建
成华,西南,有,低楼层 (共21层),106105007179,2室1厅,122,精装,78.01㎡,2010年建
高新,东南 西南,暂无数据,中楼层 (共6层),106105081291,2室1厅,102,简装,73.28㎡,未知年建
龙泉驿,东南,有,中楼层 (共32层),106105054724,3室1厅,109,简装,88.13㎡,2012年建
金牛,西,有,低楼层 (共23层),106105006423,2室1厅,108,精装,74.55㎡,2009年建
锦江,南,无,高楼层 (共6层),106105079864,3室1厅,122,精装,82.25㎡,2003年建
龙泉驿,东,有,高楼层 (共11层),106105053369,4室1厅,215,精装,106.16㎡,2011年建
郫都,东南,有,高楼层 (共32层),106105005520,3室2厅,99,精装,88.9㎡,2017年建
金牛,西南,有,低楼层 (共11层),106105078340,3室1厅,139,简装,115.64㎡,2006年建
双流,东南,无,高楼层 (共6层),106105044894,2室1厅,107,精装,72.63㎡,2011年建
高新,西北,有,中楼层 (共23层),106104998559,2室1厅,86,简装,50.61㎡,2011年建
龙泉驿,南,有,低楼层 (共11层),106105044039,3室2厅,305,毛坯,112.96㎡,未知年建
郫都,东南,有,中楼层 (共18层),106104988482,3室2厅,183,精装,129.89㎡,2011年建
锦江,南,有,中楼层 (共23层),106104170264,4室2厅,580,精装,193.74㎡,2007年建
温江,东南,无,低楼层 (共6层),106105164799,2室2厅,69,精装,95.59㎡,未知年建
龙泉驿,东南,有,高楼层 (共6层),106103809379,5室2厅,110,简装,159.55㎡,2002年建
武侯,西北,有,高楼层 (共11层),106105005658,3室2厅,259,精装,109.73㎡,2012年建
武侯,西南,有,高楼层 (共17层),106105162148,2室1厅,233,精装,106.1㎡,2014年建
双流,南 北,有,高楼层 (共32层),106103265373,3室1厅,159.7,毛坯,95.97㎡,2015年建
高新西,西南,有,中楼层 (共27层),106104998766,3室2厅,135,精装,138㎡,2008年建
双流,西,有,中楼层 (共32层),106105161953,2室2厅,150,简装,90.76㎡,2014年建
郫都,东南,有,高楼层 (共34层),106103264913,2室1厅,95,精装,52㎡,2013年建
郫都,东南,有,低楼层 (共33层),106104996685,4室2厅,235,精装,125.77㎡,2013年建
金牛,东南,无,高楼层 (共6层),106105160249,2室1厅,93,精装,75.01㎡,2008年建
武侯,东南,无,中楼层 (共7层),106104994852,3室1厅,109,精装,99.12㎡,2000年建
郫都,南,无,低楼层 (共6层),106103256372,4室2厅,137,毛坯,152.28㎡,2012年建
金牛,东南,有,低楼层 (共18层),106105158237,2室1厅,92.5,简装,73.29㎡,2012年建
锦江,西南,有,中楼层 (共41层),106103017849,4室2厅,320,简装,137.93㎡,2009年建
武侯,东,无,中楼层 (共7层),106104990414,3室1厅,112,简装,95.5㎡,1998年建
金牛,西北,无,高楼层 (共6层),106105158192,2室1厅,82,精装,62.15㎡,2007年建
武侯,南,有,低楼层 (共13层),106103015522,3室2厅,139,毛坯,115.91㎡,2006年建
新都,南,有,高楼层 (共31层),106102937830,4室1厅,155,毛坯,124.72㎡,2015年建
青羊,东南,有,中楼层 (共15层),106105152657,2室2厅,127,精装,87.91㎡,2009年建
锦江,西南,有,高楼层 (共24层),106105150906,3室2厅,153,简装,72.91㎡,2014年建
青羊,东南,无,低楼层 (共7层),106105146325,2室1厅,79.9,简装,65.94㎡,2002年建
金牛,东北,有,低楼层 (共26层),106102834874,2室1厅,125,精装,89.3㎡,2009年建
锦江,东,有,高楼层 (共34层),106105145322,1室1厅,120,简装,58.09㎡,2009年建
金牛,南,无,高楼层 (共6层),106102811522,2室2厅,72,简装,64.56㎡,2000年建
青羊,西,有,中楼层 (共32层),106105144385,2室1厅,210,精装,88.21㎡,2009年建
高新,东,有,中楼层 (共18层),106102760750,3室2厅,330,精装,135.25㎡,2008年建
郫都,东南,无,高楼层 (共7层),106102744979,2室1厅,50,简装,76.78㎡,1999年建
成华,南,有,高楼层 (共18层),106105127620,2室1厅,113.5,精装,77.04㎡,2008年建
温江,南,无,中楼层 (共6层),106105124954,3室2厅,155,毛坯,121.23㎡,2012年建
温江,南,无,低楼层 (共6层),106102723377,3室2厅,149.8,毛坯,133.94㎡,2006年建
青羊,南,有,中楼层 (共20层),106105115485,2室2厅,122,简装,89.38㎡,2010年建
武侯,南,有,低楼层 (共15层),106102673361,2室1厅,85,精装,65.54㎡,2006年建
青羊,西,有,高楼层 (共20层),106102556460,3室2厅,208,简装,103.34㎡,2015年建
金牛,东南,无,高楼层 (共7层),106105108077,2室1厅,85,简装,81.12㎡,2000年建
天府新区,南,有,高楼层 (共18层),106105106740,3室2厅,215,精装,116.51㎡,2010年建
金牛,东,有,中楼层 (共39层),106102498596,2室2厅,160,简装,88.3㎡,2015年建
双流,南 北,有,低楼层 (共32层),106102162303,3室2厅,176,精装,81.31㎡,2016年建
青白江,西北,有,中楼层 (共6层),106105093568,2室2厅,57.6,精装,78.89㎡,2012年建
天府新区,东南 西北,,中楼层 (共4层),106102144401,3室2厅,289,,151.46㎡,2008年建
武侯,北 南,有,低楼层 (共13层),106105091001,3室2厅,176,精装,96.25㎡,2012年建
高新西,南,有,高楼层 (共6层),106101692905,3室2厅,235,简装,139.42㎡,2009年建
锦江,西南,无,高楼层 (共7层),106105087816,3室1厅,159,精装,123.05㎡,2000年建
成华,西北,有,高楼层 (共20层),106105122801,2室2厅,190,精装,81.16㎡,2014年建
新都,北,有,中楼层 (共32层),106105085642,3室2厅,119,精装,101.08㎡,2015年建
青羊,北,有,中楼层 (共22层),106105111057,2室1厅,128,精装,72.56㎡,2010年建
新都,南,有,中楼层 (共16层),106105079125,2室1厅,69,毛坯,81.87㎡,2013年建
金牛,西南,无,高楼层 (共6层),106105085989,3室2厅,139,简装,107.93㎡,2004年建
成华,东南,有,中楼层 (共21层),106105099007,2室1厅,113,简装,68.56㎡,2010年建
青白江,东南,有,高楼层 (共26层),106105064138,3室1厅,62.6,精装,103.96㎡,未知年建
温江,东南,有,低楼层 (共33层),106105073586,4室2厅,249,精装,138.13㎡,2012年建
郫都,西北,有,低楼层 (共29层),106105061334,3室1厅,103,毛坯,79.71㎡,2013年建
郫都,西南,有,高楼层 (共33层),106105053303,4室2厅,159,精装,132.34㎡,2012年建
郫都,西南,有,高楼层 (共24层),106105048256,2室1厅,82,毛坯,81.5㎡,2016年建
青羊,西北,有,低楼层 (共18层),106105042036,3室2厅,238,精装,117.8㎡,2010年建
锦江,东,有,低楼层 (共20层),106105035385,2室1厅,133.9,毛坯,95.04㎡,2003年建
郫都,东南,有,中楼层 (共25层),106105044471,2室1厅,78.5,精装,46㎡,2014年建
天府新区,南,有,中楼层 (共32层),106105031855,3室2厅,175,毛坯,105.39㎡,2018年建
武侯,西南,有,中楼层 (共10层),106105027727,2室1厅,116.8,简装,73.68㎡,2012年建
龙泉驿,南,有,低楼层 (共26层),106105018270,3室2厅,83,毛坯,97.13㎡,未知年建
郫都,东南,无,高楼层 (共6层),106105016347,3室2厅,115,简装,127.48㎡,2005年建
